,playlist,name,_likelihood,_popularity,distance
14,Javier Solis – Tesoros De Colección - Javier Solís Interpreta a Agustín Lara,"['Help Me' 'Voices In The Sky' 'Man of Constant Sorrow'
 'You Got The Silver' 'One More Day (No Word)']",[332.38603119 329.39609157 325.43790437 316.77861902 271.98782192],[70.30531376 68.51968467 69.34351375 69.39914946 60.92088687],[0.21151705 0.20801608 0.21307756 0.21907776 0.22398388]
15,Growing Up At The Cactus Cafe,"['Four Strong Winds - 2016 Remaster' ""Shock On The Tube (Don't Want Love)""
 'Meet Me In Montana' 'Sunny Days' 'Kiss and Say Goodbye']",[524.25354068 515.11072018 473.03474245 472.08086066 467.31387298],[65.82386371 66.92297745 66.46429967 66.54571567 65.80142238],[0.12555731 0.1299196  0.14050617 0.14096254 0.14080777]
16,Crisis,"['Lovefingers' 'Living on a Thin Line' 'Ends of the Earth' 'So Fine'
 ""King's Vengeance""]",[185.84483599 180.04660662 174.49262923 173.7224088  159.28091791],[65.95579752 64.30184315 61.45570745 63.24782302 58.04301074],[0.35489712 0.35713999 0.35219658 0.36407406 0.36440656]
17,Bunbury — Licenciado Cantinas,"['Forever Young' ""Vincent O'Brien""
 ""Baby, It's Cold Outside (with Nick Lachey)"" 'Le Rideau rouge'
 'Two Fine People']",[602.40650057 602.16788534 600.48743403 589.0542328  578.78657433],[70.61034504 69.03899648 70.47494946 67.1617306  66.55392462],[0.11721378 0.11465074 0.1173629  0.11401621 0.11498872]
18,La música del segle XX,"['3 Gymnopédies: Gymnopedie No. 1' 'Romance'
 ""Lo, How A Rose E'er Blooming"" 'Ronsard (De Platero y Yo)'
 'String Quartet: II. Andante (arr. A. Segovia)']",[         inf 816.35718001 620.13954797 572.72997205 571.5993696 ],[64.96016818 65.33283512 64.18700115 63.21876966 63.56292496],[0.         0.08002972 0.10350412 0.11038146 0.11120188]
19,clasic tales,"['Spoon - 2004 Remastered Version' 'Something About You' 'Wintertime'
 ""(Don't Worry) If There's a Hell Below We're All Going to Go - Single Version""
 'Cities - 2005 Remaster']",[257.77281542 248.81932448 213.81189279 213.72818826 190.57305136],[57.86963433 55.56449582 48.49084219 48.80908572 42.41515966],[0.22449859 0.22331262 0.22679207 0.2283699  0.22256641]
20,...But Seriously,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 'Trains And Boats And Planes' 'Driftwood' 'Dawning Is The Day']",[428.27205793 428.27205793 387.57852575 370.90406622 363.98695296],[67.68945832 67.68945832 66.8713586  62.88749124 63.67845901],[0.15805247 0.15805247 0.17253628 0.16955191 0.17494709]
21,12 cançons de regomello per Tori Amos,"['Fossils from Carnival of the Animals' 'Pretty Girl Why'
 'Little Old Wine Drinker Me' 'Cha Cha Guere' ""Someday (You'll Be Sorry)""]",[132.79470409 131.3629906  130.75535233 125.48849986 124.70656813],[70.1383148  68.60897265 69.46509903 66.49376161 65.75403616],[0.52817102 0.5222854  0.53126008 0.52987933 0.52727003]
22,Maximo Park - A Certain Trigger,"['Feel Again' 'Bird Set Free' 'Disarm You (feat. Ilsey)'
 'All That I Am Living For' 'American Money']",[191.90938318 179.54153125 170.15984996 163.53151364 144.98206544],[68.93202622 64.83117367 61.902458   59.71435442 52.56854643],[0.35919049 0.36109291 0.36379004 0.36515503 0.36258655]
23,Night driving chill,"['Tell Me You Need Me' 'Greatest-Hits' 'Train Man' 'Frank Sinatra'
 'Clarity']",[322.79495454 322.04422193 318.38935608 300.16863291 294.96304297],[65.78195383 67.44306341 65.94833161 63.41380338 61.57381015],[0.20378867 0.20942175 0.20713108 0.21126059 0.20875093]
24,Learn Spanish,"['The Birds - Narration'
 'Fidelio, Op. 72: Er sterbe! Doch er soll erst wissen' 'Cuvinte dulci'
 'My Way - Live at The Honolulu International Center, Hawaii January 12, 1973 - Rehearsal'
 'Moonlight In Vermont - Live At The Pershing, Chicago, 1958']",[135.70863858 135.03253684 126.38975693 124.46113005 116.47309652],[69.42150772 70.62673753 65.33490147 65.03212158 60.46982514],[0.51154818 0.52303496 0.51693193 0.52250949 0.51917419]
25,Playlists - Bathtime,"['When I Said I Do' 'I Will Never Be The Same'
 'Mi Corazón Continuará (My Heart Will Go On)' 'Cool Change - Remastered'
 'Here Comes a Regular']",[191.41450169 186.61831026 185.22003846 176.65820143 175.25862266],[65.97589675 64.97200184 64.91606735 62.49335004 62.10047299],[0.34467554 0.34815449 0.3504808  0.35375289 0.35433619]
26,Stars,"['Tobacco Road' 'Train Man' 'Letter from America - Band Version'
 'Oh Yeah!' 'Fire And The Thud']",[177.05365271 176.99051289 174.19875461 170.98358444 165.46387488],[65.30326833 65.94833161 65.43608245 63.86274595 62.2005895 ],[0.36883322 0.37260942 0.37564036 0.37350221 0.37591643]
27,March Playlist,"['Paranoia in B Major' 'Tobacco Road' 'Train Man' 'Fire And The Thud'
 'So Fine']",[181.88161785 179.2387006  179.21996355 171.16929373 169.84540304],[67.74978296 65.30326833 65.94833161 62.2005895  63.24782302],[0.37249384 0.36433688 0.36797425 0.36338638 0.37238466]
28,Nueva lista de reproducción 33,"[""Child's Christmas In Wales"" 'Seven Bridges Road' 'Apricot Princess'
 'Dirty Old Town' 'Peace Frog / Blue Sunday']",[248.15321203 243.91886937 239.45911278 237.39590079 230.61565336],[66.37346012 66.15250456 65.66204532 65.77090195 63.99082379],[0.26746968 0.271207   0.27420984 0.27705155 0.27747823]
29,Manel i companyia,"['5:01AM (The Pros and Cons of Hitch Hiking, Pt. 10)'
 'Smells Like Nirvana' 'Por Tu Maldito Amor' 'Fuma el Barco'
 'Pinball Song']",[142.01843243 140.8108261  138.48248146 137.78949024 128.77107935],[60.15285556 59.97514292 58.5644949  58.53890084 54.72725111],[0.42355668 0.42592707 0.42290183 0.424843   0.42499645]
30,Indie wok1,"['Black' 'Last Time' 'Mi Enemigo El Amor'
 'They Provide the Paint for the Picture-Perfect Masterpiece That You Will Paint on the Insides of Your Eyelids'
 'El Vendedor - (Remasterizado)']",[209.14235117 206.76617977 205.94986061 191.93373178 182.41512164],[67.20937843 64.61181885 65.50203167 62.37019096 59.24453262],[0.3213571  0.31248737 0.31804844 0.3249569  0.32477863]
31,Bäst just nu.,"['In Thee' 'Letter from America - Band Version'
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC'
 'Fire And The Thud' 'Drive']",[181.45575509 179.82284742 177.71681205 170.86299755 163.79796301],[66.26481464 65.43608245 65.75774422 62.2005895  60.34286411],[0.36518442 0.36389193 0.3700142  0.3640378  0.36839814]
32,The October Game – Wildblood,"['Little Drummer Boy' 'So Nice (Summer Samba)' ""Somebody's Watching You""
 'Heartbreak Highway' 'Just Like Arcadia']",[503.45541508 480.15378681 477.52803183 451.17973865 445.10910583],[68.66490286 68.30568286 67.53750558 69.00218605 65.89648794],[0.13638726 0.14225793 0.1414315  0.15293724 0.1480457 ]
33,Anna Bumps,['Train Man' 'Fire And The Thud' 'South' 'Valentine' 'Drive'],[150.36189605 146.67798431 143.11787525 138.66289227 137.71606011],[65.94833161 62.2005895  62.68492909 60.67676188 60.34286411],[0.43859737 0.42406221 0.43799511 0.43758471 0.43816868]
34,Funkadelic - Maggot Brain,"[""The 'In' Crowd"" 'Liar' ""The Good's Gone"" 'Batdance' ""Ain't It Fun""]",[105.90624227 103.39985047  99.44589341  71.18016578  59.55625881],[57.41073101 55.79238965 52.98780855 38.17378179 31.98664009],[0.54209015 0.53957902 0.53283053 0.53629802 0.53708276]
35,Woozy With Cider,"['Tobacco Road' 'Harness Your Hopes - (B-side)' ""Daddy's Song"" 'So Fine'
 'Ends of the Earth']",[211.25497876 207.7698654  201.18338799 197.84594166 191.14629344],[65.30326833 67.12038708 66.382189   63.24782302 61.45570745],[0.30912061 0.3230516  0.3299586  0.31968219 0.32151137]
36,dami 2,"['Perfect Combination' 'Harvest for the World' 'Skies the Limit'
 'White Christmas (with Shania Twain)' 'Stay']",[740.25527251 735.66103413 549.17029316 548.79016584 524.67326758],[66.20870178 67.32474045 67.88007847 67.44136347 67.19241354],[0.08944037 0.09151598 0.12360479 0.12289098 0.12806525]
37,Paolo Nutini – These Streets,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 'Symphony in Blue' 'Desperado' 'San Franciscan Nights']",[256.63743264 256.63743264 253.27920554 252.63159214 251.72721586],[67.68945832 67.68945832 67.99383194 68.64068524 68.5666484 ],[0.2637552  0.2637552  0.26845406 0.2717027  0.27238472]
38,~ Feel Good,"[""I Think I'm In Love"" ""Don't Need No Reason"" '園遊會' 'Ride Captain Ride'
 ""Haven't Seen It Yet""]",[255.6416003  254.1702575  224.86680163 218.95292303 202.25662902],[67.52902667 67.69916023 60.12952828 57.69694201 53.47552938],[0.26415508 0.26635359 0.26740065 0.263513   0.26439445]
39,Maria Canta Copla - Maria Canta Copla,"['Devil Woman - 2001 Remaster' 'El Ansioso' 'Love Me Two Times'
 'Nobody Wins' 'Free Ride']",[191.59887789 190.71763405 187.79166631 185.3474519  183.93267158],[66.60773652 66.71514919 65.63940995 63.7632088  64.18559889],[0.34764158 0.34981112 0.34953314 0.34401988 0.34896247]
40,Ocean Colour Scene – Marchin' Already,"['Big Star' ""Nowhere's Too Far (For My Baby)"" 'Paranoid'
 'A Kind Of Magic - Remastered 2011' 'Say Goodbye to Hollywood']",[         inf 876.51862492 681.55176738 667.88197687 570.6513599 ],[55.43350093 62.42110301 67.28228335 63.05490189 52.94463524],[0.         0.07121481 0.09871926 0.09441025 0.0927793 ]
41,DMB Live,"['Letter from America - Band Version' 'In Thee' 'Tobacco Road'
 'Space Monkey' 'Fire And The Thud']",[207.14012448 206.12959125 203.35855397 194.70437736 193.62899436],[65.43608245 66.26481464 65.30326833 62.87847435 62.2005895 ],[0.3159025  0.32147162 0.32112378 0.3229433  0.32123593]
42,Party compilation,"['Modern Man'
 'They Provide the Paint for the Picture-Perfect Masterpiece That You Will Paint on the Insides of Your Eyelids'
 'Across The Great Divide - Live At The Academy Of Music, New York, 1971 / Remastered 2001'
 'Love and Anger' 'Half Full Glass Of Wine']",[158.96751224 155.99745346 154.25085652 151.9258081  144.84421541],[62.48496803 62.37019096 62.08610107 60.48254054 58.28157446],[0.39306753 0.39981544 0.40250085 0.39810577 0.40237419]
43,Crystal Castles – Crystal Castles,"['This Is Not a Love Song' ""Don't Put Me On"" 'We Live In Peace' 'Me And I'
 'Had Enough']",[122.1420185  117.4576553  116.01183009 115.50350424 109.54862489],[62.34040146 59.6091465  58.4348789  59.15153091 56.12267482],[0.51039276 0.50749478 0.50369759 0.51211893 0.51230835]
44,Taylor Swift – 1989 (Deluxe),"[""I Think I'm In Love"" 'Let the Games Begin' 'Toxic (Glee Cast Version)'
 'Drivin’ Around Song (feat. Jason Aldean)' 'Circle']",[271.44179225 270.35432447 267.3021538  248.80799709 234.98230505],[67.52902667 66.63719488 66.59284104 59.74784165 57.01577038],[0.24877903 0.24648097 0.24912946 0.24013634 0.24263857]
45,A Quiet Place,"['相依為命' 'The Weight' '500 Miles' 'One More Time - 2006 Remaster'
 'Though You Slay Me']",[459.14442371 425.67492403 415.37815409 399.46133903 392.55780946],[66.59146641 70.11716724 65.61503046 65.90611381 63.12772995],[0.14503381 0.16471999 0.15796457 0.16498747 0.1608113 ]
46,Liam Titcomb – Cicada,"['Tobacco Road' 'Dead End Street - Alternate Mono Version'
 'Pink Champagne' 'No Time' 'Would That I']",[240.63266579 240.03988915 233.44454187 229.48224497 224.78146894],[65.30326833 68.55848277 65.54860823 64.96908883 64.21160215],[0.27138156 0.28561287 0.28078878 0.28311161 0.28566235]
47,Chet Baker – The Complete Tokyo Concert. June 14. 1987,"['Kandathundo Kannan Pol'
 ""Un'ora sola ti vorrei - Instrument and base Version""
 'Where Could I Go But to the Lord' 'Janam Janam Gelo' 'Andalucia']",[137.26498281 137.03670068 135.29372268 134.76863959 129.78498521],[70.00479174 69.1755188  68.69621357 68.6507018  65.90530477],[0.50999745 0.50479557 0.5077561  0.50939671 0.50780377]
48,Eric vill gärna att hans namn uttalas på franska,"['Harness Your Hopes - (B-side)' 'Feels So Good - Single Version'
 'Train Man' 'Frank Sinatra' 'Frank Sinatra']",[172.28073591 167.05331874 165.56136602 155.11598976 155.11598976],[67.12038708 68.23497796 65.94833161 63.41380338 63.41380338],[0.38959891 0.40846227 0.39833165 0.40881539 0.40881539]
49,Playa Papaya - Playlist Contra el Piso - Part IV,"[""Don't Let Me Down - 2015 Remaster"" ""Don't Let Me Down - 2015 Remaster""
 ""Miss Judy's Farm"" 'The Fear' ""I Don't Feel No Ways Tired""]",[232.90889136 232.90889136 227.21865231 219.16372309 217.85324669],[67.68945832 67.68945832 64.40495454 66.60089775 64.88392458],[0.29062634 0.29062634 0.28344924 0.3038865  0.29783318]
50,2012: A Year In Review,"['Tobacco Road' 'Train Man' 'Harness Your Hopes - (B-side)' 'Oh Yeah!'
 'Would That I']",[231.93058807 231.40773312 230.01673449 217.81288676 216.25936333],[65.30326833 65.94833161 67.12038708 63.86274595 64.21160215],[0.28156385 0.28498759 0.29180654 0.29320003 0.29691941]
51,saffy-sleep,"['PILLOWTALK' 'Stay The Night - Featuring Hayley Williams Of Paramore'
 'Wildest Dreams' 'Wildest Dreams' 'American Dream']",[259.67770883 254.32639526 232.85693346 229.83063809 212.19114032],[68.88680411 68.41480069 62.80371402 62.10572747 56.76448483],[0.26527808 0.26900393 0.26970944 0.27022388 0.26751581]
52,old school rnb,"['Feels So Good - Single Version' ""You're No Good"" ""Gideon's Bible""
 '¡Que Vida!' '¡Que Vida!']",[138.7679633  137.27260975 134.39748681 133.56752551 133.56752551],[68.23497796 67.92230849 66.89372704 66.29735083 66.29735083],[0.49171996 0.4947987  0.49773049 0.49635831 0.49635831]
53,Shirley Horn – Loads Of Love / Shirley Horn With Horns,"[""Don't Go Near The Water - Remastered 2009"" 'San Franciscan Nights'
 'Voices In The Sky' 'Desperado'
 'It Takes A Lot To Laugh, It Takes A Train To Cry']",[219.48585812 218.68572926 214.85504109 211.47843228 208.22801496],[71.07428333 68.5666484  68.51968467 68.64068524 64.85797324],[0.3238217  0.31353966 0.31891123 0.32457535 0.31147573]
54,Interesting soundclips,"['Do You Feel It?' 'Hush' 'Personal Jesus - 2006 Remaster' 'Morning Rain'
 'Batdance']",[136.21508627 134.20424958 115.47633192 112.41316289  83.37925396],[62.40895073 60.90039185 52.02725474 51.53343471 38.17378179],[0.45816475 0.45378885 0.45054475 0.45842883 0.45783309]
55,E/Salinas3,"['Freedom Song' 'Love Is Blue' 'Misty Mountain' 'If Dogs Run Free'
 'May This Be Love']",[332.76574795 307.85564023 298.59333551 290.67713224 282.61050069],[65.48681285 66.56758396 69.79899298 68.01023796 67.42047906],[0.19679553 0.21622987 0.23375938 0.23397175 0.23856325]
56,HAIM,"['Paranoia in B Major' 'Rowboat' 'Hit This Hard' 'Tobacco Road'
 'Ends of the Earth']",[218.89141806 209.27796226 207.60948886 204.31041908 195.39777507],[67.74978296 66.53906346 66.15088194 65.30326833 61.45570745],[0.3095132  0.31794587 0.3186313  0.3196277  0.3145159 ]
57,Drive Ultra,"[""Something's Got To Give - Remastered 2009"" 'Late Night' 'My Moon My Man'
 'King Wizard' 'Good Side']",[127.22128526 118.16014064 117.66786207 116.94042416 110.21456723],[67.43153055 63.13731429 63.0763354  60.91480802 59.31996882],[0.5300334  0.53433682 0.53605406 0.52090463 0.53822258]
58,Reilly – Around the World,"['Train Man' 'Harness Your Hopes - (B-side)' 'Tobacco Road' 'Mind'
 'Ends of the Earth']",[223.06615112 221.87441385 219.20868565 207.84295163 199.17173293],[65.94833161 67.12038708 65.30326833 64.13878925 61.45570745],[0.29564473 0.30251522 0.29790457 0.30859256 0.30855637]
59,"Glee Cast - Glee: The Music, Volume 4","['Better Things To Do' 'The Beers' 'CAROUSEL' 'Love You Like I Used To'
 'Brother (feat. Gavin DeGraw)']",[675.02301668 668.82859876 641.31431843 570.97501688 565.05467846],[67.45817415 68.48016617 69.82358815 69.87009848 69.0657767 ],[0.09993463 0.10238821 0.10887577 0.1223698  0.12222848]
60,Covers III,"['Home' ""I Think I'm In Love"" 'Gone, Gone, Gone' 'In Thee'
 'Letter from America - Band Version']",[244.47777287 243.65789009 237.83439082 235.01073512 229.08765334],[67.2674648  67.52902667 65.88301464 66.26481464 65.43608245],[0.27514757 0.27714689 0.27701214 0.28196505 0.28563775]
61,Royal Headache,"['All I Want' 'The Phrase That Pays' ""This One's for the Girls""
 ""Don't Answer Me"" 'Nearly Forgot My Broken Heart']",[141.48138256 139.03782771 133.04208804 125.60140654 122.17415278],[67.24045494 66.46463534 63.7536869  60.22780415 58.50559035],[0.47526009 0.47803275 0.47919939 0.47951536 0.47887044]
62,Rats On The Tracks,"['Spirit In The Sky' 'Oh Yeah!' 'Frank Sinatra' 'Might As Well Get Stoned'
 'Version City - Remastered']",[215.79331147 210.66239767 207.12507981 199.36515097 190.06776048],[65.63263754 63.86274595 63.41380338 59.86511263 58.09231112],[0.30414584 0.30315209 0.30616188 0.30027872 0.30564   ]
63,Survivor - The Karate Kid: The Original Motion Picture Soundtrack,['Train Man' 'Mind' 'Sadeness' 'Frank Sinatra' 'Fire And The Thud'],[178.57484382 173.09715822 170.49040311 169.70118877 166.5119717 ],[65.94833161 64.13878925 63.53218475 63.41380338 62.2005895 ],[0.36930359 0.37053635 0.37264376 0.37367919 0.37355026]
64,Up Beat,"['The Phrase That Pays' 'All I Want' 'Tonight Is the Night' 'All I Want'
 'Forever & Always']",[407.75754867 396.40297261 386.76558697 374.61475287 300.12118733],[66.46463534 67.24045494 69.85497343 67.34598387 55.74637229],[0.16300038 0.16962652 0.18061321 0.17977398 0.18574621]
65,Jamie T - Carry On The Grudge,"['In Thee' 'Tobacco Road' 'Letter from America - Band Version' 'Hold On'
 'Fire And The Thud']",[298.46529595 290.29429532 283.01039057 281.35952094 268.60218493],[66.26481464 65.30326833 65.43608245 65.2277253  62.2005895 ],[0.22201849 0.2249554  0.23121442 0.23183052 0.23157142]
66,rwahve,"['Pacific 202' 'Strong Arm of the Law - 2009 Remastered Version'
 ""Bad Seamstress Blues / Fallin' Apart At The Seams"" 'Flame'
 'Psycho Circus']",[         inf 215.15413605 206.19285506 155.42983466 120.54246921],[23.1750396  35.08682014 33.94535335 25.75693984 16.28501287],[0.         0.1630776  0.16462914 0.16571426 0.13509772]
67,Breath Carolina,"['Honey I Sure Miss You' 'Sadeness' 'Got To Choose'
 'King Harvest (Has Surely Come) - Live At The Academy Of Music, New York, 1971 / Remastered 2001'
 'Big Eyed Beans from Venus']",[216.03135729 196.11733572 195.67305214 185.76067031 178.78143303],[67.33001998 63.53218475 62.2751969  56.63124323 57.57037124],[0.31166781 0.32394987 0.31826149 0.30486132 0.32201538]
68,derived from the notebook,"['Do What I Want' 'Legends' 'Sunday Morning (feat. Josie Dunne)' 'Magnify'
 'Wrapped Around']",[178.39319463 175.59274667 173.62700235 172.29821879 169.50363933],[70.28176695 67.73432036 68.29126381 66.89856262 66.94608086],[0.39397112 0.38574669 0.39332168 0.38827193 0.39495365]
69,MGM Orchestra - The Wizard Of Oz Soundtrack Restored 2010 Digitally Remastered,"[""Manman'm Voye'mpote Cafe (My Mother Sent Me to Carry Coffee)""
 ""Gunslinger's Prayer"" 'Alfred Hitchcock Television Theme'
 'Ah! se velata ancor' 'Tzotzil - Bolonchon']",[623.91556004 473.76324975 441.46429528 422.33650367 393.0238509 ],[64.17330922 68.93367963 66.31177791 68.5736382  66.98576888],[0.10285576 0.14550238 0.1502087  0.1623673  0.17043691]
70,Beach Boys - Pet Sounds,"['Hang On To Your Ego' ""Ain't That Lonely Yet"" 'Evening Sun'
 'Hide and Seek' 'Cindy Tells Me - 2004 Digital Remaster']",[          inf 1027.03715161  875.64222677  741.23468151  670.73504846],[71.1067825  67.77933688 67.1060122  70.42703113 66.46427989],[0.         0.06599502 0.07663634 0.09501314 0.09909171]
71,Rolling Stones,"['Harness Your Hopes - (B-side)' 'Pacer' ""Gideon's Bible""
 'Listen to the Sirens'
 'Across The Great Divide - Live At The Academy Of Music, New York, 1971 / Remastered 2001']",[257.50249347 238.65351054 235.09747407 222.09396745 217.18628982],[67.12038708 69.78183245 66.89372704 64.81020577 62.08610107],[0.26065917 0.2923981  0.28453614 0.29181435 0.28586566]
72,Rock On,"['Wildest Dreams' 'Fire And The Thud' 'Shooting Stars'
 'Have You Ever Seen the Rain?' ""Since You've Been Gone""]",[167.4616132  163.72471727 163.28419214 151.52417568 143.05657083],[62.80371402 62.2005895  61.91637525 57.35280178 54.50968706],[0.37503349 0.37990959 0.37919393 0.37850595 0.38103588]
73,LiftLiftLift,"['Baby' 'In My Blood' 'I Came As a Rat' 'Lady of the Night - Remastered'
 'American Dream']",[161.88609185 158.597405   150.15508315 139.86645837 137.13502227],[67.60631992 65.41910412 61.91049856 58.02844581 56.76448483],[0.4176166  0.41248534 0.41231037 0.41488464 0.41393135]
74,Las canciones de mi vida,"['Tobacco Road' 'In Thee' 'Letter from America - Band Version'
 'Would That I' 'Oh Yeah!']",[199.64560657 196.5644916  195.07864216 187.63984544 186.59336116],[65.30326833 66.26481464 65.43608245 64.21160215 63.86274595],[0.32709594 0.33711488 0.33543438 0.34220665 0.34225626]
75,The Doors – The Complete Studio Albums,"[""Gideon's Bible"" 'Harness Your Hopes - (B-side)'
 'Feels So Good - Single Version' 'Wings Of My Love'
 'Save the Last Dance for Me']",[214.44949593 213.14299789 206.65502486 203.4556988  192.80930265],[66.89372704 67.12038708 68.23497796 64.891883   63.30748224],[0.31193231 0.31490777 0.33018785 0.31894847 0.32834247]
76,JAY Z - Magna Carta... Holy Grail,"['Paranoia in B Major' 'Crowded Table'
 'Christmas Must Be Tonight - Recorded at Spotify Studios NYC' 'So Fine'
 'Fire And The Thud']",[221.11078573 219.3038675  212.16704307 203.31859925 199.91947781],[67.74978296 68.02454841 65.75774422 63.24782302 62.2005895 ],[0.3064065  0.31018399 0.30993383 0.31107741 0.31112821]
77,Garbage,"['I Love L.A.' 'Spirit In The Sky' 'I Came As a Rat'
 ""I've Always Been Crazy"" ""I've Always Been Crazy""]",[154.30250306 153.21506432 147.60027975 141.17089413 140.51811262],[65.94347545 65.63263754 61.91049856 59.69027694 59.75407181],[0.42736491 0.42836935 0.41944703 0.42282283 0.42524106]
78,We're already there.,"['Tobacco Road' 'In Thee' 'Letter from America - Band Version'
 'Fire And The Thud' 'South']",[194.98318011 191.89750635 188.80933587 181.99023026 180.8890886 ],[65.30326833 66.26481464 65.43608245 62.2005895  62.68492909],[0.33491744 0.34531358 0.34657228 0.34177983 0.34653792]
